,amount,symbol,cash,date,signer,receiver,asset
2081,10.02878,USDC,USDC,2022-02-18T08:14:27Z,F6QpLpq6fankjhQviWWhmFqh7cySKYusned3Bridvk5R,F6QpLpq6fankjhQviWWhmFqh7cySKYusned3Bridvk5R,SOL
2082,101.023647,USDC,USDC,2022-02-18T08:14:33Z,FxvqbdLuGJSypCxKQUrqZS4q3dqdvvJkLq3NP3WkWvmM,FxvqbdLuGJSypCxKQUrqZS4q3dqdvvJkLq3NP3WkWvmM,SOL
2083,1960.163203,USDC,USDC,2022-02-18T08:14:39Z,3pe49cUnRa6cSPHAys6sumCnzVGPTk2WuS64afYh553A,3pe49cUnRa6cSPHAys6sumCnzVGPTk2WuS64afYh553A,SOL
2084,93940.379551,USDC,USDC,2022-02-18T08:17:06Z,7C6n8o3fzMtTkB7oKjpCbj6qaK8pL3XcACUPVCZoaCTX,7C6n8o3fzMtTkB7oKjpCbj6qaK8pL3XcACUPVCZoaCTX,SOL
2085,6.58259,USDC,USDC,2022-02-18T08:17:18Z,7vBY52cDau61d8R7z8QRTsunnyQbUcWdQhmBv3FembUv,7vBY52cDau61d8R7z8QRTsunnyQbUcWdQhmBv3FembUv,SOL
2086,402.655894,USDC,USDC,2022-02-18T08:18:01Z,6eWkpYDhuPB3SLoCPwiNaKCzL15SHLfZryhypmQ5mNAU,6eWkpYDhuPB3SLoCPwiNaKCzL15SHLfZryhypmQ5mNAU,SOL
2087,101.237388,USDC,USDC,2022-02-18T08:19:55Z,JBesF3mNG5qXhSq5hPBWH6e3EVHM15dP1xyof3KhfahU,JBesF3mNG5qXhSq5hPBWH6e3EVHM15dP1xyof3KhfahU,SOL
2088,9367.68334,USDC,USDC,2022-02-18T08:21:13Z,HQDm4A3EQdygYLSGwb3zjnRXGVsHvDuicka82jeX2FcQ,HQDm4A3EQdygYLSGwb3zjnRXGVsHvDuicka82jeX2FcQ,SOL
2089,9743.334798,USDC,USDC,2022-02-18T08:23:52Z,5jZamLP1eGigWQ7WDAKJuPAADkW63Ga8mQxs4h1sh9pJ,5jZamLP1eGigWQ7WDAKJuPAADkW63Ga8mQxs4h1sh9pJ,SOL
2090,3390.007959,USDC,USDC,2022-02-18T08:25:41Z,EqVnUxzp9Ugz9hjoLbCgZAt8nRDLhaabzMYJXjTqa81k,EqVnUxzp9Ugz9hjoLbCgZAt8nRDLhaabzMYJXjTqa81k,SOL
2091,18024.045957,USDC,USDC,2022-02-18T08:27:51Z,FmkrkF2cM4ERD4kSccFxPTrTiRn15XdRXhccBkx4kp4t,FmkrkF2cM4ERD4kSccFxPTrTiRn15XdRXhccBkx4kp4t,SOL
2092,5016.772739,USDC,USDC,2022-02-18T08:29:01Z,EN5W85vzTPjD7MXfUET5m63iuBkLjYB9TaUAR1EHAduG,EN5W85vzTPjD7MXfUET5m63iuBkLjYB9TaUAR1EHAduG,SOL
2093,4050.135898,USDC,USDC,2022-02-18T08:31:56Z,HnJgjHRknnC3hYWrGDmDpV7d1QcfeCxVq7ALMqNnAf3i,HnJgjHRknnC3hYWrGDmDpV7d1QcfeCxVq7ALMqNnAf3i,SOL
2094,503.899002,USDC,USDC,2022-02-18T08:37:03Z,Ga5K7tiCZPPitmcnR1evPJgPAU8Dm2DNw9unjNq8ABTG,Ga5K7tiCZPPitmcnR1evPJgPAU8Dm2DNw9unjNq8ABTG,ETH
2095,50.067591,USDC,USDC,2022-02-18T08:38:26Z,62Mx5oBcTJ5RD7pQ5tBxDt4ks8S1ovRhU7SGvfHnjsuf,62Mx5oBcTJ5RD7pQ5tBxDt4ks8S1ovRhU7SGvfHnjsuf,SOL
2096,201.5596,USDC,USDC,2022-02-18T08:41:01Z,H65e14obSTsuDXcYijLpq1yXjo2ARAUXwQyi2REMsmHy,H65e14obSTsuDXcYijLpq1yXjo2ARAUXwQyi2REMsmHy,ETH
2097,50143.909495,USDC,USDC,2022-02-18T08:41:31Z,CcpaQVQPuBEMY2gWRYENhtKrVXcoY54czUWvQGeXUW1P,CcpaQVQPuBEMY2gWRYENhtKrVXcoY54czUWvQGeXUW1P,SOL
2098,2562.077392,USDC,USDC,2022-02-18T08:42:00Z,4pwQBg95Cw9znrT3SGkVXw5QvqY6xpjseG8xC7dmPDve,4pwQBg95Cw9znrT3SGkVXw5QvqY6xpjseG8xC7dmPDve,ETH
2099,23.2104,USDC,USDC,2022-02-18T08:50:52Z,HZ73ypT4Xjku3zBzXJVAqMfo1b4qXXaZ2tThQDtSkhzW,HZ73ypT4Xjku3zBzXJVAqMfo1b4qXXaZ2tThQDtSkhzW,SOL
2100,1002.873899,USDC,USDC,2022-02-18T08:52:25Z,FEnFc3wBnUjqf8Mu7FkmjQLjtt4MpTZyNK4eRGaf6D9Q,FEnFc3wBnUjqf8Mu7FkmjQLjtt4MpTZyNK4eRGaf6D9Q,SOL
2101,1879.909395,USDC,USDC,2022-02-18T09:01:51Z,EoSF2yWPhu4Dc4ULqpTj3tgVEfBxt9F43YdAAHrWueet,EoSF2yWPhu4Dc4ULqpTj3tgVEfBxt9F43YdAAHrWueet,SOL
2102,4114.912353,USDC,USDC,2022-02-18T09:04:58Z,9DWREMQtcKKcZRzqBi4kWKp61TW9MhASCVE9biCX7tvD,9DWREMQtcKKcZRzqBi4kWKp61TW9MhASCVE9biCX7tvD,SOL
2103,20254.461808,USDC,USDC,2022-02-18T09:06:44Z,4BEdcBSyQabJY7XdkyHh2SV7PKnwhSPKsQfqsxCiQrCC,4BEdcBSyQabJY7XdkyHh2SV7PKnwhSPKsQfqsxCiQrCC,SOL
2104,13.23996,USDC,USDC,2022-02-18T09:17:16Z,BBqxBsCwn5YZsneKQEtAsnGbr4JcKLXXzvWbDXoTkN1P,BBqxBsCwn5YZsneKQEtAsnGbr4JcKLXXzvWbDXoTkN1P,SOL
2105,3816.24286,USDC,USDC,2022-02-18T09:19:45Z,GB3rVKCuhX3rCrLNktEzxMDXQKJvT9BKh1jZ5VMAfk5q,GB3rVKCuhX3rCrLNktEzxMDXQKJvT9BKh1jZ5VMAfk5q,SOL
2106,13004.958397,USDC,USDC,2022-02-18T09:34:39Z,ApsKz5CJ3jRG9o6Mju6fEs3Z8VBVE6qCBG2JjtHNwSXb,ApsKz5CJ3jRG9o6Mju6fEs3Z8VBVE6qCBG2JjtHNwSXb,SOL
2107,1170.962374,USDC,USDC,2022-02-18T09:38:41Z,FyfNXdwTY9YdkY3GCCe92Lv1XMYi8D6NKnspAM7JYYLY,FyfNXdwTY9YdkY3GCCe92Lv1XMYi8D6NKnspAM7JYYLY,SOL
2108,4642.080145,USDC,USDC,2022-02-18T09:41:44Z,BS4WnNhEszgPDq1i16YkKMUygXwJrdUmRCUrBD4UVFcE,BS4WnNhEszgPDq1i16YkKMUygXwJrdUmRCUrBD4UVFcE,SOL
2109,9551.999143,USDC,USDC,2022-02-18T09:58:42Z,DKuTBpkCdJ6unXmHvXHi2W6k5Rz9VRbuKMEmDKESpTr6,DKuTBpkCdJ6unXmHvXHi2W6k5Rz9VRbuKMEmDKESpTr6,SOL
2110,8296.890718,USDC,USDC,2022-02-18T09:59:08Z,6X2D8rbKuqAN8ewaj5mFnETHmmTGbConwYdqLZzD72Bx,6X2D8rbKuqAN8ewaj5mFnETHmmTGbConwYdqLZzD72Bx,BTC
2111,3757.615182,USDC,USDC,2022-02-18T10:00:02Z,4fpqRB5s3c9eQNDZ2Vxhghm2osnLnf9JhGNbN4mn7tT4,4fpqRB5s3c9eQNDZ2Vxhghm2osnLnf9JhGNbN4mn7tT4,SOL
2112,96.555266,USDC,USDC,2022-02-18T10:02:17Z,9QsuXC3c8xt68rcoiTQNfr4x7RVZqzJU3eqwjUHkFtPq,9QsuXC3c8xt68rcoiTQNfr4x7RVZqzJU3eqwjUHkFtPq,SOL
2113,108.303496,USDC,USDC,2022-02-18T10:14:12Z,3ZXXECqc6BCMmwLqgpNhdxE44r8GP8mBTqvUaUJqFLKp,3ZXXECqc6BCMmwLqgpNhdxE44r8GP8mBTqvUaUJqFLKp,MNGO
2114,3514.744973,USDC,USDC,2022-02-18T10:27:00Z,JC3MbCwrT86ZW1ZkLrYxEKTZkkkXqnng674yyP33ibFT,JC3MbCwrT86ZW1ZkLrYxEKTZkkkXqnng674yyP33ibFT,SOL
